Nombre,Compositor,Artista/Banda,URL,Año
Tú me acostumbraste,Frank Domínguez,Olga Guillot,https://www.letras.com/luis-miguel/26161/,1957
"Ay, cosita linda","Francisco ""Pacho"" Galán",Pacho Galán y su Orquesta / Sonora Matancera con Carlos Argentino,https://www.letras.com/nat-king-cole/558066/,1957
Te me olvidas,Vicente Garrido,Los Tres Caballeros,https://www.letras.com/los-3-caballeros/te-me-olvidas/,1957
Cariñito azucarado,Enrique Cerón,Virginia López,https://www.letras.com/angelica-vale/923652/,1957
Échame a mí la culpa,José Ángel Espinoza,Amalia Mendoza / Javier Solís,https://www.letras.com/luis-miguel/108648/,1957
Sabrás que te quiero,Teddy Fregoso,Los Tres Ases / Raúl Shaw Moreno / Javier Solís,https://www.letras.com/javier-solis/1845695/,1958
Cuando tú me quieras,Mario Barrios & Raúl Shaw Moreno,Los Tres Ases / Raúl Shaw Moreno / Javier Solís,https://www.letras.com/javier-solis/cuando-tu-me-quieras/,1958
Fascinación,Fermo Dante Marchett,Tito Guízar / Trío Hermanos Michel / Sara Montiel / Los Cuatro Hermanos Silva,https://www.letras.com/javier-solis/cuando-tu-me-quieras/,1958
Regálame esta noche,Roberto Cantoral,Los Tres Caballeros,https://www.letras.com/javier-solis/1096638/,1958
Corazón de melón,Carlos Rigual,Los Hermanos Rigual,https://www.letras.com/trini-lopez/corazon-de-melon/,1958
"Nel blu, dipinto di blu",Franco Migliacci & Domenico Modugno,Domenico Modugno,https://www.letras.com/domenico-modugno/713595/,1958
Gema,Güicho Cisneros,Los Dandys,https://www.letras.com/los-dandys/894306/,1959
Nuestro juramento,Benito de Jesús,Julio Jaramillo,https://www.letras.com/julio-jaramillo/910179/,1959
Lágrimas del alma,Bonny Villaseñor,Miguel Aceves Mejía / Lucho Gatica / Flor Silvestre / Javier Solís,https://www.vagalume.com.br/javier-solis/lagrimas-del-alma.html,1959
Nuestro juramento,Benito de Jesús,Julio Jaramillo,https://www.letras.com/julio-jaramillo/910179/,1959
Bala perdida,Tomás Méndez,Lola Beltrán,https://www.musixmatch.com/es/letras/Lola-Beltr%C3%A1n/Bala-perdida,1959
La margarita,Mariano Mercerón,Mariano Mercerón y su Orquesta,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1959
Asómate a mi alma,Fernando Valadés,Los Tecolines / Los Tres Reyes / Virginia López / Elvira Quintana / Trío Los Astros,https://acordes.lacuerda.net/tecolines/asomate_a_mi_alma,1959
Jacaranda,Enrique Fabregat & Mario Molina Montes,Los Tres Ases / Trío Los Santos,https://www.cancioneros.com/letras/cancion/1879374/jacaranda-los-tres-ases,1959
Me extraña,Luis Martínez Serrano,Los Tres Caballeros,https://www.musixmatch.com/pt-br/letras/Los-Tres-Caballeros/Me-Extra%C3%B1a,1959
Un telegrama,Alfredo & Gregorio García Segura	,Monna Bell,https://www.letras.com/sergio-vega/1394013/,1959
Qué bonito amor,José Alfredo Jiménez,Miguel Aceves Mejía / Elvira Ríos / Flor Silvestre / Javier Solís,https://www.letras.com/javier-solis/1096636/,1959
Ya la pagarás,Mario de Jesús,Virginia López,https://www.letras.com/lucia-mendez/745711/,1960
Limosnero de amor,Alberto Videz,Alberto Beltrán / Javier Solís,https://www.musixmatch.com/es/letras/Javier-Sol%C3%ADs/Limosnero-de-amor,1960
Sabor a mí,Álvaro Carrillo,Rolando Laserie / Los Tres Ases,https://www.letras.com/luis-miguel/108663/,1960
Canción de Orfeo,Luis Bonfá,Los Tres Diamantes,https://lyricstranslate.com/es/los-tres-diamantes-cancion-de-orfeo-lyrics.html,1960
